"","nodesize","ntree","maxit","mtry","cutoff","RMSE_train","TPR_train","TNR_train","PPV_train","NPV_train","ACC_train","BALACC_train","F1_train","F2_train","RMSE_tune","TPR_tune","TNR_tune","PPV_tune","NPV_tune","ACC_tune","BALACC_tune","F1_tune","F2_tune"
"885",100,40,10,1,0.3,0.10702746365105,0.788585209003215,0.998376623376623,0.997965412004069,0.823844608171467,0.89297253634895,0.893480916189919,0.881005837449484,0.902752293577982,0.394904458598726,0.589041095890411,0.818181818181818,0.977272727272727,0.130434782608696,0.605095541401274,0.703611457036115,0.735042735042735,0.225
"886",100,40,10,1,0.35,0.0440226171243942,0.918810289389068,0.993506493506494,0.993049522154648,0.92377358490566,0.955977382875606,0.95615839144778,0.954488517745303,0.957371920219007,0.254777070063694,0.780821917808219,0.272727272727273,0.934426229508197,0.0857142857142857,0.745222929936306,0.526774595267746,0.850746268656717,0.130434782608696
"887",100,40,10,1,0.4,0.0335218093699515,0.948553054662379,0.984577922077922,0.984153461217681,0.949882537196554,0.966478190630048,0.966565488370151,0.966025378632828,0.966919091271423,0.235668789808917,0.808219178082192,0.181818181818182,0.929133858267717,0.0666666666666667,0.764331210191083,0.495018679950187,0.864468864468865,0.0975609756097561
"888",100,40,10,1,0.45,0.02140549273021,0.984726688102894,0.972402597402597,0.972994440031771,0.984387838948233,0.97859450726979,0.978564642752746,0.97882540950859,0.978358513679053,0.101910828025478,0.945205479452055,0.272727272727273,0.945205479452055,0.272727272727273,0.898089171974522,0.608966376089664,0.945205479452055,0.272727272727273
"889",100,40,10,1,0.5,0.0286752827140549,0.9991961414791,0.943181818181818,0.946686976389947,0.999140154772141,0.971324717285945,0.971188979830459,0.972233085647243,0.97035490605428,0.089171974522293,0.979452054794521,0,0.928571428571429,0,0.910828025477707,0.48972602739726,0.953333333333333,NA
"890",100,40,10,4,0.2,0.141357027463651,0.718649517684887,1,1,0.778761061946903,0.858642972536349,0.859324758842444,0.836295603367633,0.875621890547264,0.522292993630573,0.458904109589041,0.727272727272727,0.957142857142857,0.0919540229885057,0.477707006369427,0.593088418430884,0.62037037037037,0.163265306122449
"891",100,40,10,4,0.25,0.0836025848142165,0.833601286173633,1,1,0.856150104239055,0.916397415185784,0.916800643086817,0.909250328803157,0.922500935979034,0.369426751592357,0.623287671232877,0.727272727272727,0.968085106382979,0.126984126984127,0.630573248407643,0.675280199252802,0.758333333333333,0.216216216216216
"892",100,40,10,4,0.3,0.0238287560581583,0.955787781350482,0.996753246753247,0.996647108130763,0.957131722525331,0.976171243941842,0.976270514051865,0.975789905621666,0.976540755467197,0.235668789808917,0.787671232876712,0.454545454545455,0.950413223140496,0.138888888888889,0.764331210191083,0.621108343711083,0.861423220973783,0.212765957446809
"893",100,40,10,4,0.35,0.0165589660743134,0.980707395498392,0.986201298701299,0.986257073565077,0.980629539951574,0.983441033925687,0.983454347099845,0.983474405481661,0.983407527316876,0.159235668789809,0.86986301369863,0.454545454545455,0.954887218045113,0.208333333333333,0.840764331210191,0.662204234122042,0.910394265232975,0.285714285714286
"894",100,40,10,4,0.4,0.0121163166397415,0.995176848874598,0.980519480519481,0.980982567353407,0.99505766062603,0.987883683360258,0.987848164697039,0.988028731045491,0.987735077677841,0.101910828025478,0.958904109589041,0.0909090909090909,0.933333333333333,0.142857142857143,0.898089171974522,0.524906600249066,0.945945945945946,0.111111111111111
"895",100,40,10,4,0.45,0.0189822294022617,1,0.961850649350649,0.963594113090627,1,0.981017770597738,0.980925324675325,0.981459566074951,0.980554406288788,0.0764331210191083,0.979452054794521,0.181818181818182,0.940789473684211,0.4,0.923566878980892,0.580635118306351,0.959731543624161,0.25
"896",100,40,10,4,0.5,0.0331179321486268,0.9991961414791,0.934253246753247,0.938821752265861,0.999131944444444,0.966882067851373,0.966724694116173,0.968068535825545,0.965604026845638,0.0700636942675159,0.993150684931507,0.0909090909090909,0.935483870967742,0.5,0.929936305732484,0.542029887920299,0.963455149501661,0.153846153846154
"897",100,40,10,10,0.2,0.079967689822294,0.840836012861736,1,1,0.861538461538462,0.920032310177706,0.920418006430868,0.91353711790393,0.925619834710744,0.375796178343949,0.616438356164384,0.727272727272727,0.967741935483871,0.125,0.624203821656051,0.671855541718555,0.753138075313807,0.213333333333333
"898",100,40,10,10,0.25,0.0210016155088853,0.959003215434084,0.999188311688312,0.999162479061977,0.960218408736349,0.978998384491115,0.979095763561198,0.978671041837572,0.979315831344471,0.235668789808917,0.780821917808219,0.545454545454545,0.957983193277311,0.157894736842105,0.764331210191083,0.663138231631382,0.860377358490566,0.244897959183673
"899",100,40,10,10,0.3,0.0117124394184168,0.978295819935691,0.998376623376623,0.998359310910582,0.978520286396181,0.988287560581583,0.988336221656157,0.988225740966301,0.988348734431499,0.184713375796178,0.842465753424658,0.454545454545455,0.953488372093023,0.178571428571429,0.815286624203822,0.648505603985056,0.894545454545455,0.256410256410256
"900",100,40,10,10,0.35,0.00686591276252019,0.994372990353698,0.991883116883117,0.991980753809142,0.994304312449146,0.99313408723748,0.993128053618407,0.993175431553593,0.993092238927265,0.140127388535032,0.897260273972603,0.363636363636364,0.949275362318841,0.210526315789474,0.859872611464968,0.630448318804483,0.922535211267606,0.266666666666667
"901",100,40,10,10,0.4,0.00969305331179321,0.998392282958199,0.982142857142857,0.982594936708861,0.998349834983498,0.990306946688207,0.990267570050528,0.990430622009569,0.990180032733224,0.121019108280255,0.931506849315068,0.181818181818182,0.937931034482759,0.166666666666667,0.878980891719745,0.556662515566625,0.934707903780069,0.173913043478261
"902",100,40,10,10,0.45,0.012924071082391,0.998392282958199,0.975649350649351,0.976415094339623,0.998338870431894,0.987075928917609,0.987020816803775,0.987281399046105,0.986863711001642,0.0700636942675159,0.993150684931507,0.0909090909090909,0.935483870967742,0.5,0.929936305732484,0.542029887920299,0.963455149501661,0.153846153846154
"903",100,40,10,10,0.5,0.0254442649434572,1,0.948863636363636,0.951798010711553,1,0.974555735056543,0.974431818181818,0.975303802430419,0.973760932944606,0.0700636942675159,0.993150684931507,0.0909090909090909,0.935483870967742,0.5,0.929936305732484,0.542029887920299,0.963455149501661,0.153846153846154
"904",100,40,10,40,0.2,0.0533117932148627,0.893890675241158,1,1,0.903225806451613,0.946688206785137,0.946945337620579,0.943972835314092,0.949152542372881,0.299363057324841,0.691780821917808,0.818181818181818,0.980582524271845,0.166666666666667,0.700636942675159,0.754981320049813,0.811244979919679,0.276923076923077
"905",100,40,10,40,0.25,0.0145395799676898,0.971061093247588,1,1,0.971608832807571,0.98546042003231,0.985530546623794,0.98531810766721,0.9856,0.222929936305732,0.801369863013699,0.454545454545455,0.951219512195122,0.147058823529412,0.777070063694268,0.627957658779577,0.869888475836431,0.222222222222222
"906",100,40,10,40,0.3,0.00605815831987076,0.987942122186495,1,1,0.987971130713713,0.993941841680129,0.993971061093248,0.993934492519208,0.993949173053651,0.146496815286624,0.89041095890411,0.363636363636364,0.948905109489051,0.2,0.853503184713376,0.627023661270237,0.918727915194346,0.258064516129032
"907",100,40,10,40,0.35,0.00323101777059774,0.998392282958199,0.99512987012987,0.995192307692308,0.998371335504886,0.996768982229402,0.996761076544035,0.996789727126806,0.996747967479675,0.10828025477707,0.952054794520548,0.0909090909090909,0.932885906040268,0.125,0.89171974522293,0.521481942714819,0.942372881355932,0.105263157894737
"908",100,40,10,40,0.4,0.00403877221324717,1,0.991883116883117,0.992025518341308,1,0.995961227786753,0.995941558441559,0.99599679743795,0.995925020374898,0.089171974522293,0.965753424657534,0.181818181818182,0.94,0.285714285714286,0.910828025477707,0.573785803237858,0.952702702702703,0.222222222222222
"909",100,40,10,40,0.45,0.0169628432956381,1,0.965909090909091,0.967340590979782,1,0.983037156704362,0.982954545454545,0.983399209486166,0.982658959537572,0.0828025477707006,0.979452054794521,0.0909090909090909,0.934640522875817,0.25,0.917197452229299,0.535180572851806,0.956521739130435,0.133333333333333
"910",100,40,10,40,0.5,0.0149434571890145,0.9991961414791,0.970779220779221,0.971853010164191,0.999164578111946,0.985056542810985,0.98498768112916,0.985334918747523,0.984767393989296,0.0764331210191083,0.986301369863014,0.0909090909090909,0.935064935064935,0.333333333333333,0.923566878980892,0.538605230386052,0.96,0.142857142857143
"911",100,40,10,100,0.2,0.0516962843295638,0.897106109324759,1,1,0.905882352941176,0.948303715670436,0.948553054662379,0.945762711864407,0.950617283950617,0.312101910828025,0.684931506849315,0.727272727272727,0.970873786407767,0.148148148148148,0.687898089171974,0.706102117061021,0.803212851405622,0.246153846153846
